		From	3 	to	 2	23411.0
		From	9 	to	 4	604173.0
		From	3 	to	 2	6784.0
		From	5 	to	 4	19205.0
		From	3 	to	 8	31273.0
		From	3 	to	 2	21676.0
		From	2 	to	 2	1245.0
		From	7 	to	 7	140.0
		From	2 	to	 1	21118.0
		From	3 	to	 7	5798.0
		From	5 	to	 2	107.0
		From	2 	to	 2	59370.0
		From	3 	to	 2	12534.0
		From	9 	to	 2	481476.0
		From	7 	to	 1	239.0
		From	5 	to	 4	9190.0
		From	3 	to	 1	2735.0
		From	2 	to	 1	37337.0
		From	7 	to	 7	954.0
		From	3 	to	 7	30625.0
		From	4 	to	 2	10275.0
		From	3 	to	 2	20475.0
		From	2 	to	 2	11755.0
		From	4 	to	 6	2583.0
		From	3 	to	 8	2839.0
		From	4 	to	 6	8982.0
		From	9 	to	 2	216257.0
		From	4 	to	 4	18.0
		From	9 	to	 7	143285.0
		From	4 	to	 8	2386.0
		From	2 	to	 1	27672.0
		From	3 	to	 2	36461.0
		From	4 	to	 2	13656.0
		From	9 	to	 7	570504.0
		From	3 	to	 6	18481.0
